id,nombre,municipio_id
1,ACAJETE,1
2,BARRANQUILLAS,1
3,COLEXTA,1
4,CRUZ VERDE,1
5,DOS VEREDAS,1
6,EL ENCINAL,1
7,LA JOYA CHICA,1
8,LA JOYA,1
9,MAZATEPEC,1
10,MESA DE LA YERBA,1
11,EL MIRADOR,1
12,PLAN DE SEDEÑO,1
13,PUENTECILLAS,1
14,RINCÓN DE LA JOYA,1
15,VEGA DE PIXQUIAC,1
16,EL ZAPOTAL,1
17,EL CAÑO,1
18,PALO BLANCO,1
19,PUEBLO VIEJO,1
20,TIERRA PRIETA,1
21,ACOCOTA,1
22,CUESTA DEL VAQUERO,1
23,EL ENCINAL DOS,1
24,PARAJILLOS,1
25,EL RINCÓN DE SEDEÑO,1
26,EL SAUCAL,1
27,EL RODEO,1
28,TOXTLACOAYILLA,1
29,PATA MOLE,1
30,LA CIÉNEGA DEL VENADO,1
31,ALTO PIXQUIAC,1
32,LOMA DEL MUERTO,1
33,PIPINCAL,1
34,BARRANCA SECA,1
35,EL PARAÍSO,1
36,EL QUEMADO,1
37,CHORRO DE LA MULA,1
38,EL CUCHARILLO,1
39,EL FORTÍN,1
40,COLETXA,1
41,EL MUÑECO,1
42,EL CAPULÍN,1
43,LA POSTA,1
44,LA YERBABUENA,1
45,LAS BAYAS,1
46,PARAÍSO LAS FLORES (LA VAQUITA),1
47,SAN MARTÍN,1
48,EL VALLE,1
49,EL MIRADOR (RANCHO ECOLÓGICO),1
50,LA HERRADURA,1
51,EL OYAMEL,1
52,EL MIRADOR DOS (PARTE BAJA),1
53,CINCO DE MAYO (LOS CHÁVEZ),1
54,VALLE ALEGRE,1
55,ACATLÁN,2
56,VEINTICUATRO,2
57,PLAN DEL PINO (PLAN DEL COYOTE),2
58,GUSTAVO SALAS,2
59,PIE DEL CERRO,2
60,LA GLORIA,2
61,EL ARENAL,2
62,LOS DURAZNOS,2
63,PÁJARO VERDE,2
64,ACAYUCAN,3
65,MICHAPAN,3
66,AGUAPINOLE (CUAPINOLE),3
67,CABAÑAS,3
68,CAMPO DE ÁGUILA,3
69,EL MANGAL,3
70,CASCAJAL DEL RÍO (CASCAJALILLO),3
71,COLONIA HIDALGO,3
72,COMEJÉN,3
73,CORRAL NUEVO,3
74,DEHESA,3
75,ESPERANZA MALOTA,3
76,GRAN BRETAÑA,3
77,EL HATO,3
78,CONGREGACIÓN HIDALGO,3
79,IXHUAPAN,3
80,IXTAGAPA,3
81,MICHAPAN PASO REAL,3
82,MONTE GRANDE,3
83,NUEVO POBLADO VISTA HERMOSA,3
84,PARAÍSO,3
85,PASO LIMÓN,3
86,QUIAMOLOAPAN,3
87,SAN ÁNGEL,3
88,APAXTA,3
89,SAN JUAN DE LOS LLANOS,3
90,SAN MARTÍN,3
91,SAN MIGUEL,3
92,SANTA RITA LAUREL,3
93,TECUANAPA,3
94,TIERRA COLORADA,3
95,VISTA HERMOSA,3
96,EL ZAPOTE,3
97,ALFREDO CUADRA I. PIÑA,3
98,EL BENEMÉRITO (EL CAZADOR),3
99,CUATRO HERMANOS,3
100,NUEVOS ÓRGANOS (EL MIRADOR),3
101,LA MONTAÑA,3
102,LA PEÑA,3
103,LOMA BONITA,3
104,TRES CERROS,3
105,LA PRIMAVERA,3
106,XALAPA CALERÍA,3
107,FINCA JALAPA,3
108,LOS PASIEGOS (EL NOVILLERO),3
109,SAN OCTAVIO,3
110,SAN LUIS,3
111,PITALILLO,3
112,SAN JUDAS TADEO,3
113,EL APOMPO,3
114,BONANZA,3
115,BUENAVISTA,3
116,EL CACAO,3
117,EL CANELO,3
118,EL CAPRICHO,3
119,CASA BLANCA,3
120,COLONIA PRADOS DE ACAYUCAN,3
121,EL DÓLAR,3
122,DON LUCAS,3
123,SAN ELEUTERIO,3
124,EMILIANO ZAPATA,3
125,EL ENCANTO,3
126,LA ESPERANZA,3
127,FRANCISCO MATEY,3
128,EL FUERTE,3
129,LA SOLEDAD,3
130,EL GRAN CHAPARRAL,3
131,LAS HOJITAS,3
132,EL ORIENTE,3
133,JALAPILLA,3
134,LOMA BLANCA,3
135,LOMA DEL VIDRIO,3
136,VICTORIANO PRIETO BLANCO (LOMA VICTORIA),3
137,EL LUCINO,3
138,LOS MANANTIALES (LOS LIMONES),3
139,LOS MANGUITOS,3
140,EL MIRADOR,3
141,EL NOVILLERO,3
142,EL NUEVO PRINCIPIO,3
143,NUEVO QUIAMOLOAPAN,3
144,QUINTA PARAÍSO,3
145,NUEVO JUQUILA,3
146,EL AGAME (EL REFUGIO),3
147,EL RETORNO,3
148,JESÚS LIRA COBOS,3
149,SAN BARTOLO,3
150,SAN MANUEL,3
151,LAGUNA SECA,3
152,SAN RAFAEL,3
153,SANTA ELENA,3
154,LA GRAN AURORA,3
155,SANTA LUISA (CORRAL VIEJO),3
156,SANTA MARTHA,3
157,SANTA TERESA,3
158,SANTO CRISTO,3
159,GOTA DE ORO,3
160,EL TRÉBOL,3
161,EL TRIÁNGULO,3
162,SAN JUDAS TADEO,3
163,LA UNIÓN,3
164,LAS VEGAS,3
165,DOS HERMANOS (LA VERÓNICA),3
166,EL YUALE,3
167,EL ZAPOTAL,3
168,EL MACAYAL,3
169,LA SOLEDAD (CUESTILAMA),3
170,ENCARNACIÓN CHAN PÉREZ,3
171,EL QUILATE (SAN JUAN),3
172,POTOMAC,3
173,ELENITA,3
174,EL ROSARIO,3
175,LAS LAJAS (EL COLUMPIO),3
176,LA DIVINA PROVIDENCIA,3
177,NUEVA LUCHA,3
178,SAN MARTÍN,3
179,JUILAPA,3
180,OFELIA MORALES CULEBRO,3
181,LA LAGUNA,3
182,SAN LUIS [BALNEARIO],3
183,ALEJANDRINO JOACHÍN,3
184,MONTE FIEL,3
185,LAGUNA DE CABEZO,3
186,MARCELO ALEMÁN TORRES,3
187,FERMÍN REYES GÓMEZ,3
